base_candidate,candidate,origin,depth,learning_rate,l2_leaf_reg,max_iterations,iterations,training_rows,evaluation_rows,fit_seconds,prediction_seconds,pinball_loss,baseline_pinball_loss,pinball_difference,median_mae,median_bias,coverage_90,mean_width_90,mean_absolute_calibration_error,quantile_crossings,invalid_90_intervals
depth4_lr0p04,depth4_lr0p04_l25_trees250,2009-08-01,4,0.04,5,500,250,22632,744,65.877985541,0.00401199999999,7.45963101509,7.355061265,0.104569750092,20.5660446928,12.0399971358,0.758064516129,63.883698059,0.170563158466,1,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2009-08-01,4,0.04,5,500,375,22632,744,65.877985541,0.00314283300003,7.81517707911,7.355061265,0.46011581411,21.1890852255,13.035935383,0.720430107527,57.5477417148,0.186530900402,49,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2009-08-01,4,0.04,5,500,500,22632,744,65.877985541,0.00367012499999,7.97476657492,7.355061265,0.619705309924,21.5026297136,13.6909410214,0.69623655914,53.3797477388,0.193998044966,126,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2009-09-01,4,0.04,5,500,250,23376,720,64.881499292,0.005457084,7.10348771757,5.693610333,1.40987738457,20.0930676715,-10.9040952046,0.766666666667,61.4577711754,0.168148148148,14,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2009-09-01,4,0.04,5,500,375,23376,720,64.881499292,0.00317512499998,7.53479753474,5.693610333,1.84118720174,20.7506344217,-11.2705061224,0.679166666667,56.7956208938,0.178599887767,226,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2009-09-01,4,0.04,5,500,500,23376,720,64.881499292,0.00351908300001,7.83242915466,5.693610333,2.13881882166,21.183600672,-11.5328248373,0.619444444444,53.0152738749,0.18702020202,447,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2009-10-01,4,0.04,5,500,250,24096,744,66.197735416,0.00408979099996,4.49960198432,4.414959951,0.0846420333244,12.5768095741,-1.47459528742,0.875,51.8749409665,0.0977517106549,80,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2009-10-01,4,0.04,5,500,375,24096,744,66.197735416,0.00318266700003,4.55285237279,4.414959951,0.137892421788,12.6598929028,-1.77244513141,0.805107526882,46.1928616718,0.114664928858,750,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2009-10-01,4,0.04,5,500,500,24096,744,66.197735416,0.00362633400005,4.67537244796,4.414959951,0.260412496962,12.8881947674,-2.36087789097,0.743279569892,43.1717208863,0.136406538503,1155,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2009-11-01,4,0.04,5,500,250,24840,720,68.343662209,0.00402533299996,7.50680023469,4.959250238,2.54754999669,22.2365458145,-20.1547721321,0.873611111111,86.3775177731,0.262962962963,0,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2009-11-01,4,0.04,5,500,375,24840,720,68.343662209,0.00310300000001,7.60733475223,4.959250238,2.64808451423,22.624196639,-20.5853802351,0.834722222222,83.1341697973,0.271254208754,0,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2009-11-01,4,0.04,5,500,500,24840,720,68.343662209,0.00362687500001,7.77318784401,4.959250238,2.81393760601,23.3287162969,-21.475872107,0.818055555556,80.5597848801,0.281018518519,0,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2009-12-01,4,0.04,5,500,250,25560,744,70.601425167,0.00904366700001,10.8383164738,11.0412067,-0.2028902262,30.8183450784,19.0705464956,0.75,81.4242256152,0.16476919735,9,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2009-12-01,4,0.04,5,500,375,25560,744,70.601425167,0.00325366599998,11.1552075638,11.0412067,0.114000863793,31.1441406453,20.0137590565,0.712365591398,75.6441773708,0.180085261214,154,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2009-12-01,4,0.04,5,500,500,25560,744,70.601425167,0.0036502910001,11.2102488538,11.0412067,0.169042153804,30.9398891852,20.0508569992,0.690860215054,70.5640885201,0.186566199631,823,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-01-01,4,0.04,5,500,250,26304,744,73.584662375,0.00538329100004,18.7794275441,21.02048069,-2.24105314586,50.8609495469,26.3764642468,0.602150537634,103.756806745,0.130192788096,67,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-01-01,4,0.04,5,500,375,26304,744,73.584662375,0.00317495800005,19.278064059,21.02048069,-1.74241663095,50.9207769687,25.7447475471,0.555107526882,97.4875071169,0.136110568046,328,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-01-01,4,0.04,5,500,500,26304,744,73.584662375,0.00357225000005,19.8300634981,21.02048069,-1.19041719187,51.5100510812,25.6443766547,0.513440860215,92.6748990775,0.141418485935,661,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-02-01,4,0.04,5,500,250,27048,672,79.226652417,0.00510737499997,9.07229202154,13.85334823,-4.78105620846,25.902503572,18.0081690797,0.808035714286,86.5486305445,0.169823232323,262,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-02-01,4,0.04,5,500,375,27048,672,79.226652417,0.00313291600003,9.39568999491,13.85334823,-4.45765823509,26.7905189218,19.5898812277,0.720238095238,77.2733054334,0.188371813372,1132,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-02-01,4,0.04,5,500,500,27048,672,79.226652417,0.00352662499995,9.89033185925,13.85334823,-3.96301637075,27.4184748558,20.8267327816,0.651785714286,67.7122422028,0.212361712362,3777,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-03-01,4,0.04,5,500,250,27720,744,78.856468625,0.00721333299998,8.82202320488,6.757414947,2.06460825788,23.5795486253,-13.3321201432,0.612903225806,85.1640268325,0.22990659281,213,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-03-01,4,0.04,5,500,375,27720,744,78.856468625,0.003553625,8.81427778465,6.757414947,2.05686283765,23.1031606474,-12.2685071416,0.557795698925,76.1767589038,0.228752579559,1118,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-03-01,4,0.04,5,500,500,27720,744,78.856468625,0.00437683300004,8.85535950864,6.757414947,2.09794456164,23.0838279573,-11.9368405108,0.532258064516,68.5648150202,0.225494189204,2196,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-04-01,4,0.04,5,500,250,28464,720,83.083803167,0.0047178750001,4.14102108393,3.642027459,0.498993624933,10.8733715929,-4.08788691076,0.647222222222,40.9153843352,0.209015151515,590,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-04-01,4,0.04,5,500,375,28464,720,83.083803167,0.00304104199995,4.28502343062,3.642027459,0.642995971615,11.2651838672,-5.05850301146,0.576388888889,37.8304539126,0.225092592593,1123,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-04-01,4,0.04,5,500,500,28464,720,83.083803167,0.00344933300016,4.40855340035,3.642027459,0.766525941352,11.5168820855,-5.31104877303,0.536111111111,34.6198637613,0.23164983165,2030,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-05-01,4,0.04,5,500,250,29184,744,79.844914125,0.00556604199983,5.81652882394,7.10266967,-1.28614084606,15.6412327509,10.0182534627,0.801075268817,42.9253786189,0.0775632670794,80,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-05-01,4,0.04,5,500,375,29184,744,79.844914125,0.00319454200007,5.81654330493,7.10266967,-1.28612636507,15.5513098266,9.75415337374,0.786290322581,40.5615771538,0.0770202020202,259,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-05-01,4,0.04,5,500,500,29184,744,79.844914125,0.00395724999998,5.85260763143,7.10266967,-1.25006203857,15.489047987,9.61050195964,0.752688172043,38.505278927,0.0794080590855,515,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-06-01,4,0.04,5,500,250,29928,720,82.741358292,0.0117652920001,10.1575845851,13.70310638,-3.54552179488,28.2218174069,21.1680080007,0.691666666667,73.1555070398,0.256327160494,0,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-06-01,4,0.04,5,500,375,29928,720,82.741358292,0.00299725000013,11.2296139395,13.70310638,-2.47349244049,29.5596100839,22.2132032039,0.552777777778,63.4025824784,0.27904040404,109,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-06-01,4,0.04,5,500,500,29928,720,82.741358292,0.00348291699993,11.5424203249,13.70310638,-2.1606860551,29.84275873,22.0600588197,0.522222222222,59.6252842584,0.282505611672,325,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-07-01,4,0.04,5,500,250,30648,744,85.950272,0.00421741700006,8.91800424592,10.77537067,-1.85736642408,24.5276269323,4.04408874176,0.727150537634,72.1757366628,0.0834843054198,0,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-07-01,4,0.04,5,500,375,30648,744,85.950272,0.00311895799996,8.80772081953,10.77537067,-1.96764985047,24.0433956558,3.2888958741,0.686827956989,64.0564086704,0.0891251221896,39,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-07-01,4,0.04,5,500,500,30648,744,85.950272,0.00355616699994,9.09681374425,10.77537067,-1.67855692575,24.707164555,4.94656192072,0.653225806452,60.8553693088,0.107450852612,314,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-08-01,4,0.04,5,500,250,31392,744,86.351029833,0.00440120799999,6.02636871009,6.574447448,-0.548078737908,16.3353083227,3.85636772478,0.916666666667,76.0766884142,0.0445601173021,0,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-08-01,4,0.04,5,500,375,31392,744,86.351029833,0.00342583400015,5.96421230987,6.574447448,-0.610235138129,16.1821289976,4.4372674685,0.907258064516,70.7512942835,0.0599831649832,8,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-08-01,4,0.04,5,500,500,31392,744,86.351029833,0.003738333,6.06296100558,6.574447448,-0.511486442423,16.4458250549,6.31221808907,0.876344086022,65.9547373603,0.0913315955251,49,0
