model,folds,forecast_hours,pinball_loss,fold_pinball_mean,fold_pinball_std,median_mae,median_bias_actual_minus_forecast,within_month_calibration_mae,coverage_90,mean_width_90,invalid_90_intervals,adjacent_quantile_crossings,adjacent_crossing_rate,relative_improvement_vs_empirical
CatBoost round 2,12,8760,8.372673059,8.347675977,4.419977507,22.99749977,4.358412616,0.1335349384,0.8182648402,80.95622411,0,2849,0.00331865623,0.1727583015
CatBoost round 1,12,8760,8.985331677,8.960322932,4.935114482,24.45558028,8.747767636,0.1611850468,0.7294520548,71.26796557,0,1236,0.001439753984,0.1122260495
Seasonal empirical,12,8760,10.12119321,10.12498129,6.13072706,27.98468037,20.82763699,0.1853011854,0.7776255708,75.59030879,0,0,0,0
Seasonal naive,12,8760,15.3102226,15.34295756,7.908862381,30.62044521,12.02291096,0.2848613071,0.001598173516,0,0,0,0,-0.5126894913
