model,nominal_coverage,empirical_coverage,coverage_error,absolute_coverage_error,mean_width
CatBoost round 1,0.5,0.3711187215,-0.1288812785,0.1288812785,29.51581048
CatBoost round 1,0.8,0.6483447489,-0.1516552511,0.1516552511,55.1940442
CatBoost round 1,0.9,0.7673515982,-0.1326484018,0.1326484018,70.02524728
CatBoost round 1,0.98,0.8948630137,-0.0851369863,0.0851369863,94.38818931
Seasonal empirical,0.5,0.4564497717,-0.04355022831,0.04355022831,32.80611444
Seasonal empirical,0.8,0.7249429224,-0.07505707763,0.07505707763,60.11812728
Seasonal empirical,0.9,0.8191780822,-0.08082191781,0.08082191781,74.28772489
Seasonal empirical,0.98,0.9012557078,-0.07874429224,0.07874429224,92.85576261
Seasonal naive,0.5,0.00154109589,-0.4984589041,0.4984589041,0
Seasonal naive,0.8,0.00154109589,-0.7984589041,0.7984589041,0
Seasonal naive,0.9,0.00154109589,-0.8984589041,0.8984589041,0
Seasonal naive,0.98,0.00154109589,-0.9784589041,0.9784589041,0
